fecha,trigo,maiz,sorgo,girasol,soja,tipo_cambio_bna_vendedor,trigo_usd,maiz_usd,sorgo_usd,girasol_usd,soja_usd
2020-04-23,1290000,795000,880000,1587000,1362500,66.32,19451.145958986734,11987.33413751508,13268.998793727384,23929.433051869724,20544.33051869723
2020-04-24,1291500,788000,880000,1589500,1367000,66.43,19441.517386722866,11862.110492247477,13247.02694565708,23927.442420593103,20578.0520849014
2020-04-27,1280000,795000,895500,1600000,1360000,66.53,19239.440853750188,11949.496467758905,13460.093191041635,24049.301067187735,20441.905907109573
2020-04-28,1275500,796000,897000,1600000,1365000,66.63,19143.02866576617,11946.570613837612,13462.404322377308,24013.2072639952,20486.267447095903
2020-04-29,1270000,798600,898000,1600000,1371000,66.75,19026.21722846442,11964.044943820225,13453.18352059925,23970.037453183522,20539.325842696628
2020-04-30,1266000,810000,890000,1600000,1399500,66.84,18940.754039497308,12118.491921005385,13315.38001196888,23937.761819269897,20938.06104129264
2020-05-04,1260000,810000,893500,1601500,1380000,66.93,18825.638727028236,12102.196324518152,13349.76841476169,23927.984461377557,20618.556701030924
2020-05-05,1245000,815000,900000,1603000,1415000,67.0,18582.089552238805,12164.179104477613,13432.835820895523,23925.373134328358,21119.402985074626
2020-05-06,1245000,803000,900000,1606000,1400000,67.1,18554.396423248883,11967.213114754099,13412.816691505217,23934.426229508197,20864.381520119226
2020-05-07,1240000,814000,900000,1608000,1417000,67.19,18455.12725107903,12114.898050305106,13394.850424170263,23932.13275785087,21089.447834499184
2020-05-08,1240000,815000,900000,1610000,1441000,67.27,18433.179723502304,12115.35602794708,13378.920767058125,23933.40270551509,21421.138694811954
2020-05-12,1211000,821000,908000,1615000,1460000,67.46,17951.3785947228,12170.174918470206,13459.828046249631,23940.112659353694,21642.454788022533
2020-05-13,1212000,821500,910000,1630000,1465000,67.54,17944.921527983417,12163.162570328694,13473.497186852235,24133.84660941664,21690.84986674563
2020-05-14,1190000,814000,915000,1640000,1463000,67.64,17593.140153755176,12034.299231224128,13527.498521584861,24246.008279124777,21629.213483146068
2020-05-15,1170000,820000,910000,1650000,1465000,67.73,17274.472168905948,12106.895024361434,13435.700575815737,24361.435109995567,21630.001476450612
2020-05-18,1150000,804000,912500,1657000,1463000,67.82,16956.649955765264,11854.91005603067,13454.733117074611,24432.32084930699,21571.807726334417
2020-05-19,1151000,799000,906000,1659000,1465000,67.9,16951.39911634757,11767.304860088365,13343.151693667156,24432.989690721646,21575.84683357879
2020-05-20,1147000,791700,908000,1661000,1490000,68.0,16867.647058823528,11642.64705882353,13352.941176470587,24426.470588235294,21911.764705882353
2020-05-21,1154000,775000,910000,1663000,1460000,68.09,16948.15685122632,11381.994419151122,13364.66441474519,24423.55705683654,21442.208841239535
2020-05-22,1150000,776000,918000,1665500,1470000,68.18,16867.11645643884,11381.636843649163,13464.359049574654,24427.9847462599,21560.574948665297
2020-05-26,1170000,769000,919000,1668000,1477000,68.27,17137.835066647138,11264.098432693716,13461.256774571555,24432.40076168156,21634.685806357113
2020-05-27,1172000,772500,920000,1670500,1480000,68.36,17144.528964306613,11300.468110005851,13458.162668227034,24436.805149210064,21650.087770626098
2020-05-28,1180000,798500,920000,1672000,1475000,68.45,17238.860482103726,11665.4492330168,13440.467494521548,24426.588750913073,21548.575602629655
2020-05-29,1190000,807000,922500,1675000,1477000,68.54,17362.124306974027,11774.146483805076,13459.293843011379,24438.284213597897,21549.460169244234
2020-06-01,1198000,800000,924000,1676500,1493000,68.63,17455.9230657147,11656.709893632524,13463.499927145564,24428.092670843656,21754.334838991697
2020-06-02,1198000,808000,925000,1678500,1505000,68.71,17435.598893901908,11759.569203900452,13462.378110900889,24428.758550429342,21903.653034492796
2020-06-03,1200000,817000,926000,1681000,1512000,68.81,17439.325679407062,11873.274233396309,13457.34631594245,24429.58872256939,21973.5503560529
2020-06-04,1210000,830000,930000,1683000,1536000,68.9,17561.683599419448,12046.44412191582,13497.822931785195,24426.705370101594,22293.178519593614
2020-06-05,1225000,840000,930000,1685000,1525000,68.99,17756.19655022467,12175.677634439775,13480.214523844037,24423.82954051312,22104.65284823888
2020-06-08,1225000,845000,964300,1684000,1525000,69.08,17733.06311522872,12232.194557035322,13959.17776491025,24377.533294730747,22075.854082223508
2020-06-09,1235000,857000,965500,1696000,1525000,69.17,17854.56122596501,12389.764348706087,13958.363452363741,24519.300274685556,22047.13025878271
2020-06-10,1243000,877000,967000,1699000,1530000,69.26,17946.866878429108,12662.431417845797,13961.882760612185,24530.753681778802,22090.672827028586
2020-06-11,1244000,868000,967000,1699000,1533000,69.31,17948.348001731352,12523.445390275572,13951.810705525897,24513.057278891934,22118.02048766412
2020-06-12,1245000,870000,968000,1700000,1535000,69.37,17947.23944068041,12541.444428427274,13954.158858296092,24506.270722214213,22127.720916822833
2020-06-16,1249500,870000,970000,1701000,1530000,69.61,17950.007182876023,12498.20428099411,13934.779485706076,24436.144232150553,21979.60063209309
2020-06-17,1245000,851000,1000000,1702000,1540000,69.67,17869.95837519736,12214.72656810679,14353.380221042054,24429.45313621358,22104.205540404764
2020-06-18,1245000,870000,1010000,1720000,1550000,69.74,17852.021795239463,12474.906796673358,14482.363062804705,24663.034126756527,22225.408660739893
2020-06-22,1250000,850000,1010000,1723000,1570000,69.97,17864.799199656994,12148.063455766758,14434.757753322852,24624.839216807202,22438.187794769186
2020-06-23,1250000,855000,1012500,1746000,1575000,70.03,17849.493074396687,12209.053262887333,14458.089390261317,24932.171926317293,22490.361273739825
2020-06-24,1280000,865000,1013500,1748000,1560000,70.1,18259.62910128388,12339.514978601997,14457.917261055636,24935.8059914408,22253.92296718973
