fecha,trigo,maiz,sorgo,girasol,soja
23/11/2021,2260000,2051000,1905000,4730000,3588000
24/11/2021,2290000,2073500,1908000,4730000,3573000
25/11/2021,2330000,2080000,1909000,4730000,3577000
26/11/2021,2360000,2090000,1911400,4730000,3505000
29/11/2021,2380000,2095000,1914000,4720000,3505000
30/11/2021,2340000,2045000,1920000,4535000,3426000
01/12/2021,2310000,2076000,1920000,4530000,3490000
02/12/2021,2300000,2120000,1920000,4540000,3531500
03/12/2021,2335000,2130000,1923000,4740000,3605000
06/12/2021,2350000,2132000,1925000,4750000,3568000
07/12/2021,2410000,2165000,1923000,4757000,3580000
09/12/2021,2422000,2179000,1925500,4757000,3588000
10/12/2021,2440000,2184000,1956000,4763000,3615000
13/12/2021,2420000,2162000,1970000,4770000,3603000
14/12/2021,2438000,2194000,1980000,4771000,3657000
15/12/2021,2418000,2200000,1981000,4776000,3648000
16/12/2021,2441000,2207000,2009000,4780000,3685000
17/12/2021,2470000,2230000,2036000,4783000,3705000
20/12/2021,2497000,2245000,2039000,4791000,3695000
21/12/2021,2500000,2265000,2040000,4745000,3735000
22/12/2021,2485000,2306000,2041200,4595000,3760000
23/12/2021,2470000,2270000,2042000,4495000,3778000
27/12/2021,2475000,2300000,2047000,4500000,3850000
28/12/2021,2460000,2300000,2048000,4500000,3882000
29/12/2021,2460000,2305000,2050000,4510000,3860000
30/12/2021,2440000,2290000,2050000,4511000,3780000
03/01/2022,2440000,2305000,2056000,4550000,3830000
04/01/2022,2428000,2315000,2058000,4580000,3889000
05/01/2022,2440000,2367600,2059000,4633000,3915000
06/01/2022,2440000,2325000,2061000,4740000,3930000
07/01/2022,2425000,2350000,2062000,4948000,4000000
10/01/2022,2435000,2370000,2076500,4940000,3957000
11/01/2022,2436000,2377300,2119000,4920000,3985000
12/01/2022,2447000,2385000,2121500,4920000,4025000
13/01/2022,2450000,2387000,2123500,4930000,3977000
14/01/2022,2451000,2385000,2124400,4953500,4020800
17/01/2022,2452000,2389000,2130000,4960000,4000000
18/01/2022,2405000,2375000,2131500,4960000,4025000
19/01/2022,2435000,2375000,2135000,4900000,4105000
20/01/2022,2430000,2390000,2140000,4945000,4143500
21/01/2022,2450000,2370000,2150000,4998700,4070000
25/01/2022,2550000,2430000,2190000,5012000,4010000
26/01/2022,2540000,2430000,2195000,5068000,4075500
27/01/2022,2540000,2440000,2200000,5090000,4090000
28/01/2022,2550000,2440000,2200000,5125000,4160000
31/01/2022,2523000,2454000,2250000,5140000,4180000
01/02/2022,2525000,2505000,2256000,5240000,4249300
02/02/2022,2520000,2470000,2257500,5250000,4252500
03/02/2022,2523000,2430000,2260000,5256000,4257000
04/02/2022,2525000,2472000,2262000,5260500,4313000
07/02/2022,2531500,2530000,2320000,5274000,4378000
08/02/2022,2535000,2495000,2323000,5281000,4365000
09/02/2022,2569000,2515000,2325000,5284500,4418000
10/02/2022,2570000,2540000,2327500,5290500,4486000
11/02/2022,2580000,2553000,2331000,5298000,4495000
14/02/2022,2585000,2505000,2335000,5310000,4470000
15/02/2022,2587000,2529000,2338000,5314000,4474000
16/02/2022,2563700,2553000,2340000,5400000,4553000
17/02/2022,2575000,2555000,2342500,5400000,4570000
18/02/2022,2580000,2569000,2345000,5420000,4583000
21/02/2022,2585000,2617500,2350500,5445000,4583000
22/02/2022,2675000,2665000,2354000,5450000,4655000
23/02/2022,2750000,2677000,2356000,5460000,4754000
24/02/2022,3000000,2787000,2410000,5573500,4813000
25/02/2022,2896000,2620000,2360000,5577000,4690000
02/03/2022,3253500,2962500,2430000,6250000,4934000
03/03/2022,3418000,3120000,2480000,6360000,5050000
04/03/2022,3560000,3238000,2535000,6500000,5062000
07/03/2022,3539000,3163000,2580000,6600000,5130500
08/03/2022,3565000,3245000,2705000,6900000,5299000
09/03/2022,3565000,3254000,2712000,7050000,5400000
10/03/2022,3585500,3311400,2745000,7400000,5425000
11/03/2022,3580000,3307500,2720000,7600000,5380000
